Sector,Camera,CCD,RA_center,DEC_center,ROTATION,RA_corner1,DEC_corner1,RA_corner2,DEC_corner2,RA_corner3,DEC_corner3,RA_corner4,DEC_corner4
61,2,3,130.29444503246538,-20.13867424141305,166.59667417621438,137.33695302931022,-15.85727393123895,135.4438535927743,-27.205792664354455,122.20037909632187,-24.458781541388063,125.50810266673,-12.972828656068453
61,2,4,117.52577387911464,-16.853547965701615,163.28547440139778,125.34273001598586,-12.92868633059586,122.01817543943743,-24.409729162227947,109.46009916230477,-20.55444949698733,113.71732388604512,-9.829288633565437
61,3,1,123.81500662846227,-43.413917343917696,166.18947328500803,132.5891173164574,-38.974915879072604,130.89957661354595,-50.39957913695071,112.84841737316417,-47.35874025738773,118.11761658100029,-36.112176767108245
61,3,2,107.98922511402998,-39.330875724636094,156.46298845752392,117.93065529687009,-36.05970458766074,112.62763842868625,-47.29614010408336,97.28218267347488,-41.7750851889763,104.59222442786037,-31.877085096985738
61,3,3,99.97645636412972,-50.258918048169534,-31.78399267805972,87.51588138241931,-51.44973808211063,97.0915116514326,-42.002880272461816,112.48153667288511,-47.55397864264083,104.24901186660837,-58.39547698570552
61,3,4,119.037577790886,-55.30400840589468,-15.788975637127507,104.52920028782914,-58.458304965863974,112.71536352367964,-47.60022360996276,130.85727587628486,-50.64731212169982,127.37413242717575,-61.970384941716254
61,4,1,111.30045606147482,-66.28546943132444,158.54538069652915,127.17501986232429,-62.25179615048815,123.74840823069779,-73.6723936857175,89.38937793841663,-68.24680698502138,104.4855917205963,-58.37395783270058
61,4,2,87.8623445423483,-59.50009140335155,138.33783559902304,104.21580975128701,-58.28592634772769,89.07875376156252,-68.12924442705113,71.36595823314828,-58.70934747944549,87.20432932621783,-51.561274583708204
61,4,3,65.90033087736265,-67.04593144072537,-64.55680996670527,48.92180901260002,-63.43630987014964,70.89676845591909,-58.85977356087577,88.5349667932288,-68.35003698156362,56.23444976336839,-74.97101676147719
61,4,4,91.4856665908551,-77.06961025073272,-39.8062176233696,56.42509373214374,-75.12688481952961,88.87112634229543,-68.4607869780725,123.59368058724107,-73.94661046298656,101.35205097716967,-84.88272099271069
62,1,1,143.39422330435804,-12.676262843543594,-23.157622990690346,135.73680372563587,-15.514355727962373,140.06493952000366,-4.843162492598312,151.5235190266614,-9.348833428442136,147.03306045606038,-20.439170235529787
62,1,2,155.50876032569298,-17.20991772683472,-19.25317156526455,147.20731281104577,-20.494555823483797,151.6895379628853,-9.400391803671843,163.43936426051263,-13.51723219289037,159.30272160452327,-24.318887716677803
62,1,3,159.7536786408152,-5.647969014103708,159.52817389423188,166.99110100793146,-2.3224319344640083,163.52272935824604,-13.285544390010257,151.78621702834826,-9.160833287473594,155.989945307835,1.9877624691835185
62,1,4,147.97585773999268,-1.2467464768286765,159.59195011934926,155.82714431860555,2.0510829721826407,151.62400080700033,-9.09651685136686,140.16708842992466,-4.60513709299647,144.65251868183668,5.974776237618678
