Sector,Camera,CCD,RA_center,DEC_center,ROTATION,RA_corner1,DEC_corner1,RA_corner2,DEC_corner2,RA_corner3,DEC_corner3,RA_corner4,DEC_corner4
17,3,4,313.153963512271,62.01636755339422,-102.84962446475791,301.2671772530657,68.98157126401676,331.1114082879254,65.54334486023251,320.6058894226304,54.46631442435484,300.65893203892375,57.17792866418419
17,4,1,288.1543006147517,62.46328849171262,98.9304747995032,300.1258929022116,57.23704379641914,279.73340158598904,55.161563234078386,270.30073377192554,66.5188311119651,301.44717478236913,69.03719999396262
17,4,2,280.1722855067746,74.68466271364315,106.73550691939788,301.50085080586973,69.20335162182421,270.14441427719225,66.67477778121673,246.286594516822,76.53386743458998,304.05371254570827,81.00126227144382
17,4,3,247.2966344893726,67.8455956387447,-42.65125913635659,227.20920913084564,66.314380328488,245.49073238160912,76.31754261431134,269.46800847174455,66.53877702366249,248.35314835288494,59.35819887379899
17,4,4,264.79093639032607,58.04633354720005,-57.716347404308884,248.5829409306622,59.243919690738245,269.65577268704646,66.3906082930161,279.27231193024255,55.075427620920046,262.0044335923119,50.27587693448242
18,1,1,49.85864490438651,43.27029212972093,-166.86091134671165,56.353094514347774,49.84517948653337,59.20411745763991,38.53827785927026,44.24133867163583,35.77529860240259,39.01551639933024,47.02480688616025
18,1,2,34.055983212897594,39.17871684613197,-155.5794774471463,38.7863760319999,46.95398744575619,44.04453480182795,35.71416510399158,30.395770421991642,31.222116368255254,24.09354455504568,41.535313892678396
18,1,3,39.52436259587289,27.75293198923226,19.288435257769752,35.843696958588595,20.555984880029932,30.513814620756445,30.998646308114036,44.13505523495073,35.46720287999734,48.04662653863608,24.048938605667765
18,1,4,53.377191857504684,31.280163114521834,13.250423465770135,48.2311836359816,24.093209903959647,44.33747261954357,35.51623293348118,59.249660302701045,38.28230842729834,60.957591776868334,26.882717663581957
18,2,1,37.677939832498055,66.10225256126013,-159.64168547259794,49.024214861461225,73.02266623529282,54.27675173306396,61.69827311240038,30.882536358078326,58.047215162116544,16.285708638147494,68.02232043314002
18,2,2,14.125205367493395,59.44943490933365,-137.6617385112833,15.915104834497757,67.91980785271882,30.584131820232187,57.98685880647451,13.219235120493892,50.967438071176936,358.62356771603766,58.88241796182795
18,2,3,26.60194001963344,49.44210517171918,29.919486938169612,23.82772212847565,41.742313073509116,13.503287438309659,50.76619100619369,30.820857923038755,57.726471322168806,38.752955957370126,46.83752860781306
18,2,4,45.378852886238775,54.37682423070842,15.949658377778263,38.98493920900206,46.8923818364752,31.1619179843341,57.79592274289308,54.338715062261294,61.43240141906836,56.20171517236783,49.99820581259862
18,3,1,353.97298933977726,66.73477215468743,60.81231997047383,358.2328342503557,59.028596204665334,335.84489985047503,63.04654107736222,344.8083771836505,74.86626231159059,15.946142310382243,67.91543447382358
18,3,2,20.189359510428424,76.43820785009457,36.792268613805724,16.280862368714544,68.01380061877752,345.03688364878417,75.01882290385173,34.93116889692048,84.65071051806707,48.80636434273208,73.3882925449969
18,3,3,316.2337540530363,82.01543200728372,-80.45579794339298,252.74677241977855,82.93965835859375,33.85263984218932,84.90116949952441,344.01645156265045,75.10763868613859,297.8520931890432,74.28829074819059
18,3,4,321.3869765111046,69.53487089014519,-85.78798504699084,298.1513010488419,74.15144978046213,343.864205813248,74.94927457400085,335.30490486595266,63.08746425007181,309.7740663378642,63.07545962776351
