Name,Dist,RA,DEC,RA_Corner1,DEC_Corner1,RA_Corner2,DEC_Corner2,RA_Corner3,DEC_Corner3,RA_Corner4,DEC_Corner4
skycell.1263.070,8.370296289602654,125.799930595874,-0.999583310924,126.016597267394,-1.21631942689,126.016597267394,-0.7827777505119999,125.583263924354,-0.7827777505119999,125.583263924354,-1.21631942689
skycell.1263.071,8.368408160604389,125.399930586914,-0.999583310924,125.616597258434,-1.21631942689,125.616597258434,-0.7827777505119999,125.183263915394,-0.7827777505119999,125.183263915394,-1.21631942689
skycell.1263.072,8.385528655377287,124.999930577954,-0.999583310924,125.216597249474,-1.21631942689,125.216597249474,-0.7827777505119999,124.783263906434,-0.7827777505119999,124.783263906434,-1.21631942689
skycell.1263.073,8.421541841638877,124.599930568994,-0.999583310924,124.816597240514,-1.21631942689,124.816597240514,-0.7827777505119999,124.383263897474,-0.7827777505119999,124.383263897474,-1.21631942689
skycell.1263.074,8.476206906480934,124.199930560034,-0.999583310924,124.416597231554,-1.21631942689,124.416597231554,-0.7827777505119999,123.983263888514,-0.7827777505119999,123.983263888514,-1.21631942689
skycell.1263.075,8.549166056846726,123.799930551074,-0.999583310924,124.016597222594,-1.21631942689,124.016597222594,-0.7827777505119999,123.583263879554,-0.7827777505119999,123.583263879554,-1.21631942689
skycell.1263.076,8.639955845916004,123.399930542114,-0.999583310924,123.616597213634,-1.21631942689,123.616597213634,-0.7827777505119999,123.183263870594,-0.7827777505119999,123.183263870594,-1.21631942689
skycell.1263.077,8.748021119886912,122.999930533154,-0.999583310924,123.216597204674,-1.21631942689,123.216597204674,-0.7827777505119999,122.783263861634,-0.7827777505119999,122.783263861634,-1.21631942689
skycell.1263.078,8.872730663929262,122.599930524194,-0.999583310924,122.816597195714,-1.21631942689,122.816597195714,-0.7827777505119999,122.383263852674,-0.7827777505119999,122.383263852674,-1.21631942689
skycell.1263.079,9.013393612329352,122.199930515234,-0.999583310924,122.416597186754,-1.21631942689,122.416597186754,-0.7827777505119999,121.983263843714,-0.7827777505119999,121.983263843714,-1.21631942689
skycell.1263.080,7.970258638477429,125.799930595874,-0.5993749686259999,126.016597267394,-0.8161110845919999,126.016597267394,-0.3825694082139999,125.583263924354,-0.3825694082139999,125.583263924354,-0.8161110845919999
skycell.1263.081,7.968276184503873,125.399930586914,-0.5993749686259999,125.616597258434,-0.8161110845919999,125.616597258434,-0.3825694082139999,125.183263915394,-0.3825694082139999,125.183263915394,-0.8161110845919999
