Dates Flux Corrflux Xpos Ypos
2229.181671 2363402.41244 1.0553703768763274 7.752049 6.455874
2229.182352 2362596.713 1.052740603437706 7.748846 6.43495
2229.183033 2360482.549131 1.0512955928031744 7.749907 6.427656
2229.183714 2364842.192474 1.0563782485844173 7.752596 6.459268
2229.184395 2362555.989951 1.0520954357188237 7.747998 6.429261
2229.185076 2363378.0104 1.0534840011562834 7.748904 6.439311
2229.185758 2363076.850723 1.0521904045426125 7.747495 6.428523
2229.186439 2363225.276337 1.0516271876923067 7.746615 6.422933
2229.18712 2363474.446872 1.0524165919501542 7.747398 6.429221
2229.187801 2365045.796483 1.0514266346568764 7.742886 6.417701
2229.188482 2367546.878846 1.0538739088870912 7.743124 6.431956
2229.189163 2364041.73662 1.0524939222241814 7.746361 6.428895
2229.189844 2365066.26237 1.0497148164585512 7.740576 6.402795
2229.190525 2365710.03582 1.0516921376046968 7.742913 6.417335
2229.191206 2364660.99025 1.0498482399492566 7.741419 6.404821
2229.191887 2366590.765155 1.0499129661976303 7.7386 6.400804
2229.192568 2366974.530183 1.0505005580874558 7.739205 6.404286
2229.193249 2368373.091514 1.0507431760521522 7.737352 6.403172
2229.193931 2364912.933163 1.0481273355672505 7.738306 6.390297
2229.194612 2367910.959964 1.0525024033759962 7.740747 6.418896
2229.195293 2367061.69738 1.0465804460474557 7.732619 6.373372
2229.195974 2370378.111748 1.051258130005004 7.735288 6.402445
2229.196655 2366428.668193 1.0497037583952058 7.739035 6.398672
2229.197336 2369424.940371 1.0492691312961222 7.733478 6.388915
2229.198017 2371678.236998 1.0473167166826216 7.727442 6.36826
2229.198698 2367006.5492 1.0468609120853407 7.73352 6.375078
2229.199379 2369044.796271 1.051122242845128 7.737279 6.404144
2229.20006 2370092.722795 1.0481394079695185 7.731073 6.378019
2229.200741 2373390.417638 1.0493107276648648 7.728766 6.378702
2229.201422 2366590.59873 1.0454313813115386 7.7324 6.36416
2229.202104 2374436.348639 1.0486006302546929 7.725902 6.371329
2229.202785 2373123.553798 1.0470652119657484 7.725492 6.362401
2229.203466 2370471.426178 1.0453487161210961 7.726855 6.354831
2229.204147 2372516.148708 1.047769139558896 7.727413 6.369134
2229.204828 2374194.577212 1.0458540771128162 7.72231 6.350714
2229.205509 2377074.184061 1.048241933332994 7.721943 6.362323
2229.20619 2374033.183281 1.0479775500766926 7.726175 6.366438
2229.206871 2376040.19577 1.0459533838297126 7.720229 6.346979
2229.207552 2374092.610284 1.0465196786182918 7.723751 6.355464
2229.208233 2375867.331435 1.0440782176209809 7.717907 6.333165
2229.208914 2378514.103701 1.0468093925733064 7.718515 6.347387
2229.209595 2375743.727378 1.0455156873664122 7.720438 6.343657
2229.210276 2377500.949367 1.045993582330491 7.718963 6.34309
2229.211639 2380247.560663 1.0457466715927102 7.714436 6.336126
2229.21232 2375949.14191 1.0457167735732817 7.720716 6.344301
2229.213001 2377385.446828 1.0431005978412988 7.714322 6.32303
2229.214363 2380263.83317 1.0444612855535764 7.711978 6.327622
2229.215044 2382053.796038 1.0461437454991256 7.712849 6.33481
2229.215725 2380224.929976 1.042705080883796 7.709245 6.315451
2229.216406 2381981.86641 1.046272180788383 7.711919 6.337794
2229.217087 2381763.442153 1.0452708695947048 7.710977 6.330627
2229.217768 2380085.460107 1.0443284947908535 7.71242 6.326413
2229.21845 2382085.557608 1.0435145713108023 7.707934 6.317447
2229.219131 2381987.729841 1.0442654603340744 7.708773 6.323611
2229.219812 2387122.435569 1.0470803417895493 7.705436 6.334147
2229.220493 2385678.591564 1.045124460839547 7.703456 6.324781
2229.221174 2384139.734642 1.0450829784713005 7.707146 6.324966
2229.221855 2386332.969845 1.0450761477886594 7.703313 6.321866
2229.223217 2391623.738743 1.0475796873695107 7.698616 6.330948
2229.223898 2389099.385962 1.046357034081718 7.701204 6.32581
2229.224579 2383114.693269 1.043833421240985 7.70714 6.317449
2229.22526 2391247.168736 1.0469180173665709 7.697703 6.327737
2229.225941 2388979.105446 1.0468433490354532 7.703123 6.327861
2229.226622 2397943.677322 1.050027406121755 7.691666 6.338822
2229.227304 2386146.475052 1.044123495062535 7.702135 6.315576
2229.227985 2395345.759738 1.0481483307061648 7.69193 6.331517
2229.228666 2394960.647765 1.0492454360852004 7.695818 6.337227
2229.229347 2396786.743468 1.049203302721516 7.691845 6.335589
2229.230028 2391639.098717 1.0461147618799465 7.694797 6.323218
2229.230709 2398573.764285 1.0496928389728746 7.689209 6.336992
2229.23139 2402453.476068 1.0516472494655573 7.686443 6.34369
2229.232071 2393911.820231 1.0479139161938613 7.695332 6.329853
2229.232752 2402723.754483 1.0520898482466716 7.687304 6.345353
2229.233433 2394153.115152 1.0472036259730166 7.692316 6.326995
2229.234114 2406751.87442 1.0534432543955776 7.681849 6.350077
2229.234796 2405703.10265 1.0531351782888472 7.683517 6.348868
2229.235477 2405022.927826 1.0524388370141036 7.682933 6.346093
2229.236158 2406705.473789 1.053330514706647 7.682104 6.348824
2229.236839 2399891.932222 1.0498712332409492 7.687189 6.336461
2229.23752 2413057.318611 1.0562624314991944 7.676452 6.359057
2229.238201 2407666.90066 1.0532792771928035 7.679708 6.348213
2229.238882 2405667.87172 1.0520503984466258 7.680989 6.342947
2229.239563 2411802.763263 1.0551773865043335 7.67632 6.354324
2229.240244 2418345.658608 1.058548302267351 7.671534 6.366475
2229.240925 2409392.579669 1.0537461617819326 7.677602 6.348854
2229.241606 2413248.126435 1.0555233013071292 7.674224 6.354967
2229.242287 2415864.627571 1.0571335485506101 7.672781 6.3615
2229.242968 2415620.734083 1.0567089218369332 7.672498 6.359021
2229.24365 2424132.382481 1.060150669119218 7.663469 6.370555
2229.244331 2414174.284989 1.0562892466189364 7.674447 6.357934
2229.245012 2423736.43914 1.0600508347115056 7.664459 6.369678
2229.245693 2423076.44352 1.0600807878101397 7.665924 6.370304
2229.246374 2423024.991171 1.0601858719191575 7.666363 6.370787
2229.247055 2425029.123281 1.060917166610915 7.664113 6.37297
2229.247736 2427311.176736 1.0617259907487577 7.661817 6.374826
2229.248417 2420642.926429 1.0580927001619354 7.665785 6.362078
2229.249098 2430407.54525 1.062909491083838 7.658181 6.37895
2229.249779 2423558.465739 1.0593976423904767 7.663581 6.3658
2229.25046 2434757.42268 1.065679571426785 7.657239 6.388333
2229.251142 2436669.2896 1.0660196687347991 7.654125 6.388669
